current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,0.00,nan,nan,26/2/2025 17:20:19,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:20:20,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:20:40,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:20:59,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:21:19,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:21:38,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:21:58,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:22:18,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:22:37,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:22:56,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:23:16,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:23:34,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:23:53,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 14:57:10,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 14:57:30,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 14:57:49,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 14:58:9,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 14:58:28,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 14:58:48,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 14:59:7,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 14:59:27,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 14:59:46,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:0:6,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:0:25,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:0:45,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:1:4,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:1:24,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:1:43,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:2:3,nan,nan,nan
current1,current2,current3,power1,power2,power3,timestamp,voltage1,voltage2,voltage3
nan,nan,nan,nan,nan,nan,26/2/2025 15:2:22,nan,nan,nan
